epc,FirstSeenTime,LastSeenTime,Channel,PeakRSSI,PhaseAngle,DopplerFreq
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124564417,0,920.625,-57,0.521553467881118,-14.625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124574735,0,920.625,-57.5,0.589048622548086,-30.0625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124585214,0,920.625,-56.5,0.546097160487288,-10.5625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124593813,0,920.625,-57.5,0.515417544729575,-1.625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124607954,0,920.625,-57,0.564504929941916,-10.5625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124618215,0,920.625,-57.5,0.47860200582032,16.25
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124630878,0,920.625,-58,0.447922390062607,7.3125
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124640547,0,920.625,-57.5,0.546097160487288,4.875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124653162,0,920.625,-57,0.570640853093458,-21.125
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124664216,0,920.625,-57,0.625864161457342,-23.5625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124674317,0,920.625,-57.5,0.546097160487288,0
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124686736,0,920.625,-57,0.674951546669682,-39
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124698333,0,920.625,-57,0.45405831321415,21.9375
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124711755,0,920.625,-57.5,0.656543777215054,-39
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124719147,0,920.625,-57,0.497009775274948,7.3125
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124732408,0,920.625,-57,0.619728238305799,-21.9375
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124742497,0,920.625,-57,0.607456392002714,-28.4375
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124753463,0,920.625,-56.5,0.632000084608884,-23.5625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124767373,0,920.625,-57,0.521553467881118,8.9375
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124778551,0,920.625,-57,0.576776776245001,-4.875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124789422,0,920.625,-57,0.552233083638831,-4.875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124800927,0,920.625,-57,0.466330159517235,12.1875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124811988,0,920.625,-57,0.527689391032661,1.625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124824289,0,920.625,-57,0.533825314184203,-4.875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124836279,0,920.625,-57,0.564504929941916,-30.0625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124844777,0,920.625,-56.5,0.558369006790373,-17.875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124854671,0,920.625,-56.5,0.472466082668777,10.5625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124865429,0,920.625,-56.5,0.589048622548086,-21.125
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124878757,0,920.625,-57.5,0.589048622548086,-26.8125
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124892003,0,920.625,-57,0.589048622548086,-21.125
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124902122,0,920.625,-57,0.558369006790373,-8.9375
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124912239,0,920.625,-56.5,0.601320468851171,-14.625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124925994,0,920.625,-57,0.484737928971863,16.25
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124937546,0,920.625,-57.5,0.539961237335746,1.625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124945950,0,920.625,-57.5,0.552233083638831,-10.5625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124958686,0,920.625,-57,0.570640853093458,-13
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124969941,0,920.625,-57,0.589048622548086,-19.5
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124979957,0,920.625,-57.5,0.650407854063512,-23.5625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124994539,0,920.625,-57,0.638136007760427,-17.875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125005534,0,920.625,-57.5,0.546097160487288,8.9375
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125012073,0,920.625,-57,0.527689391032661,4.875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125027273,0,920.625,-57.5,0.582912699396544,-1.625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125039641,0,920.625,-57,0.601320468851171,-4.875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125047301,0,920.625,-57,0.674951546669682,-30.875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125059627,0,920.625,-57,0.515417544729575,23.5625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125068951,0,920.625,-57,0.644271930911969,-17.875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125080635,0,920.625,-57.5,0.69335931612431,-19.5
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125094408,0,920.625,-57,0.564504929941916,5.6875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125104443,0,920.625,-57,0.71790300873048,-28.4375
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125113563,0,920.625,-57,0.638136007760427,-13
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125129554,0,920.625,-57.5,0.619728238305799,-14.625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125138860,0,920.625,-57,0.607456392002714,5.6875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125150564,0,920.625,-57,0.607456392002714,-14.625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125162280,0,920.625,-57.5,0.607456392002714,-13
